Created: 04-Feb-2009
 
 
Industry mapping for USA
 
Code  Code CHL      N                                                 Industry label USA                                                 Industry label CHL
   17      1    55248                                                    Crop production     Agriculture, livestock, hunting and related service activities
   18      1    38593                                                  Animal production     Agriculture, livestock, hunting and related service activities
   19      2     2089                                            Forestry except logging           Forestry, wood extraction and related service activities
   27      2     7698                                                            Logging           Forestry, wood extraction and related service activities
   28      5     2825                                     Fishing, hunting, and trapping            Fisheries, fish farming and services related to fishing
   29      1     5899                    Support activities for agriculture and forestry     Agriculture, livestock, hunting and related service activities
   37     11     3100                                             Oil and gas extraction  Crude oil and natural gas extraction, and related service activit
   38     10     4282                                                        Coal mining                                  Coal, lignite and peat extraction
   39     13     1297                                                   Metal ore mining                                        Mining of metallic minerals
   47     14     6979                           Nonmetallic mineral mining and quarrying                              Mining of other minerals and quarries
   77     45   409834                                                       Construction                                                       Construction
  107     15     5943                            Animal food, grain, and oilseed milling                                 Food and drink product manufacture
  108     15     3730                                   Sugar and confectionery products                                 Food and drink product manufacture
  109     15     7153     Fruit and vegetable preserving and specialty food manufacturin                                 Food and drink product manufacture
  117     15     5852                                        Dairy product manufacturing                                 Food and drink product manufacture
  118     15    20882                                 Animal slaughtering and processing                                 Food and drink product manufacture
  119     15     5820                                                    Retail bakeries                                 Food and drink product manufacture
  127     15     6754                                            Bakeries, except retail                                 Food and drink product manufacture
  128     15     7252                      Seafood and other miscellaneous foods, n.e.c.                                 Food and drink product manufacture
  129     15     3622                                      Not specified food industries                                 Food and drink product manufacture
  137     15     7763                                             Beverage manufacturing                                 Food and drink product manufacture
  139     16     1659                                              Tobacco manufacturing                                        Tobacco product manufacture
  147     17     2756                                      Fiber, yarn, and thread mills                                        Textile product manufacture
  148     17     9001                                      Fabric mills, except knitting                                        Textile product manufacture
  149     17     3512                     Textile and fabric finishing and coating mills                                        Textile product manufacture
  157     17     3661                                     Carpets and rugs manufacturing                                        Textile product manufacture
  159     17     9062                      Textile product mills except carpets and rugs                                        Textile product manufacture
  167     17     3904                                                     Knitting mills                                        Textile product manufacture
  168     18    17522                                  Cut and sew apparel manufacturing                       Clothing and furs processing and manufacture
  169     18     2977                Apparel accessories and other apparel manufacturing                       Clothing and furs processing and manufacture
  177     19     1892                                             Footwear manufacturing  Leather processing, manufacture of luggage, handbags, leatherwear
  179     19     2043        Leather tanning and products, except footwear manufacturing  Leather processing, manufacture of luggage, handbags, leatherwear
  377     20     8226                                     Sawmills and wood preservation  Production of wood and manufacture of wood and cork products with
  378     20     3996                      Veneer, plywood, and engineered wood products  Production of wood and manufacture of wood and cork products with
  379     20     4632                      Prefabricated wood buildings and mobile homes  Production of wood and manufacture of wood and cork products with
  387     20    13551                                        Miscellaneous wood products  Production of wood and manufacture of wood and cork products with
  187     21    14134                                  Pulp, paper, and paperboard mills                               Paper and paper products manufacture
  188     21     7255                                    Paperboard containers and boxes                               Paper and paper products manufacture
  189     21     6883                              Miscellaneous paper and pulp products                               Paper and paper products manufacture
  199     22    37683                            Printing and related support activities          Editorial, printing and recording reproduction activities
  207     23     5869                                                 Petroleum refining       Coke production, products from oil refining and nuclear fuel
  209     23     1538                          Miscellaneous petroleum and coal products       Coke production, products from oil refining and nuclear fuel
  217     24     2682     Resin, synthetic rubber and fibers, and filaments manufacturin                         Chemical and chemical products manufacture
  218     24     1728                                Agricultural chemical manufacturing                         Chemical and chemical products manufacture
  219     24    15244                          Pharmaceutical and medicine manufacturing                         Chemical and chemical products manufacture
  227     24     3190                        Paint, coating, and adhesives manufacturing                         Chemical and chemical products manufacture
  228     24     5064                Soap, cleaning compound, and cosmetic manufacturing                         Chemical and chemical products manufacture
  229     24    21835                             Industrial and miscellaneous chemicals                         Chemical and chemical products manufacture
  237     25    30852                                     Plastics product manufacturing                            Rubber and plastic products manufacture
  238     25     4893                                                 Tire manufacturing                            Rubber and plastic products manufacture
  239     25     5205                       Rubber products, except tires, manufacturing                            Rubber and plastic products manufacture
  247     26     2221              Pottery, ceramics, and related products manufacturing                 Manufacture of other non-metallic mineral products
  248     26     2135                              Structural clay product manufacturing                 Manufacture of other non-metallic mineral products
  249     26     8559                              Glass and glass product manufacturing                 Manufacture of other non-metallic mineral products
  257     26     8600           Cement, concrete, lime, and gypsum product manufacturing                 Manufacture of other non-metallic mineral products
